cve,rank,reports_submitted_count,epss
CVE-1999-0067,2215,1,0.29627
CVE-1999-0278,1098,3,0.90534
CVE-1999-0512,1416,2,0.015
CVE-1999-0512,1416,2,0.015
CVE-1999-0517,749,5,0.45448
CVE-1999-0517,749,5,0.45448
CVE-1999-1159,2215,1,0.00045
CVE-2000-0114,362,12,0.15958
CVE-2000-0760,1416,2,0.06176
CVE-2000-0760,1416,2,0.06176
CVE-2000-1039,2215,1,0.01206
CVE-2000-1039,2215,1,0.01206
CVE-2000-1039,2215,1,0.01206
CVE-2000-1117,2215,1,0.00315
CVE-2000-1117,2215,1,0.00315
CVE-2001-1473,1098,3,0.00258
CVE-2001-1473,1098,3,0.00258
CVE-2002-1428,2215,1,0.02783
CVE-2002-1428,2215,1,0.02783
CVE-2003-0020,1416,2,0.0102
CVE-2003-0020,1416,2,0.0102
CVE-2003-0083,1416,2,0.01634
CVE-2003-1311,2215,1,0.00384
CVE-2003-1418,1416,2,0.00104
CVE-2003-1582,749,6,0.00452
CVE-2003-1582,749,6,0.00452
CVE-2004-0493,2215,1,0.96228
CVE-2004-0747,2215,1,0.00046
CVE-2004-0748,2215,1,0.12523
CVE-2004-0751,2215,1,0.05658
CVE-2004-0885,2215,1,0.0018
CVE-2004-2150,2215,1,0.00462
CVE-2004-2588,2215,1,0.01811
CVE-2004-2588,2215,1,0.01811
CVE-2005-0453,1416,2,0.00378
CVE-2005-1397,2215,1,0.00829
CVE-2005-1397,2215,1,0.00829
CVE-2005-1665,304,48,0.85391
CVE-2005-2059,2215,1,0.00197
CVE-2005-2089,749,6,0.39742
CVE-2005-2089,749,6,0.39742
CVE-2005-2204,1416,2,0.01013
CVE-2005-2696,900,4,0.00297
CVE-2005-2700,2215,1,0.00214
CVE-2005-2700,2215,1,0.00214
CVE-2005-2700,2215,1,0.00214
CVE-2005-2728,2215,1,0.93963
CVE-2005-2777,2215,1,0.08816
CVE-2005-3015,2215,1,0.00199
CVE-2005-3352,2215,1,0.01623
CVE-2005-3745,2215,1,0.00205
CVE-2005-4338,2215,1,0.00521
CVE-2006-0026,749,6,0.963
CVE-2006-0977,2215,1,0.01068
CVE-2006-0977,2215,1,0.01068
CVE-2006-2224,2215,1,0.12503
CVE-2006-2479,2215,1,0.01241
CVE-2006-2479,2215,1,0.01241
CVE-2006-2479,2215,1,0.01241
CVE-2006-2758,2215,1,0.00444
CVE-2006-2758,2215,1,0.00444
CVE-2006-3918,2215,1,0.97122
